,States
0,Connecticut
1,Georgia
2,Idaho
3,Iowa
4,Louisiana
5,Maryland
6,Michigan
7,Minnesota
8,Missouri
9,Montana
10,New Hampshire
11,Oklahoma
12,Rhode Island
13,Tennessee
14,Utah
15,Vermont
16,Virginia
17,West Virginia
18,Wisconsin
